wav_file,label,transcription
Ses02F_impro04_F012,2,or they ll never talk to me again .
Ses03F_script02_1_M030,4,for real ?
Ses02F_script03_2_M015,2,nothing .
Ses02F_script02_2_M025,2,you wanna get married again ?
Ses04M_script03_1_M021,1,let s savor the delight of the moment . come and kiss me darling before your body rots and worms pop in and out of your eye sockets .
Ses05F_impro01_M014,2,what no i m sure they did not tell you here .
Ses04F_script01_1_M038,0,the business the business doesn t inspire me .
Ses01M_impro03_F018,5,yeah .
Ses01M_script02_2_F039,4,yes don t be ridiculous . don t you know that ?
Ses03M_impro03_F029,4,what ?
Ses02M_script03_1_M000,3,good god .
Ses02M_script01_2_M013,2,calm yourself .
Ses04F_impro07_M028,1,that s awesome .
Ses01F_script03_1_F001,3,freda is the only one who knows we are here . she wouldn t ring up .
Ses05M_script03_2_M017,2,um well that reply has just broken my heart .
Ses03M_impro08b_M008,5,alright . um well that could be the problem . cause 
Ses05M_impro03_F030,5,oooh
Ses02M_script03_1_M003,3,we re all right darling aren t we whatever happens ?
Ses03F_script01_3_M017,4,why didn t you ?
Ses01M_script01_1_M002,5,i was out here at four this morning i heard a crack and i looked out the window and he was standing right over there .
Ses02M_script03_2_M043,0,you re not going like this .
Ses04F_script03_1_M002,3,it must be them then .
Ses02M_script01_3_F013,1,every day since .
Ses05F_script03_2_M032,2,you better turn that off i think .
Ses02F_impro05_F005,4,fifty dollars ? for my suitcase ? i mean the suitcase itself was like a hundred and fifty dollar just for the suitcase but all the things inside all my clothes all my personal belongings the sentimental value not to mention which is more more than all of that together .
Ses03F_script01_3_M017,4,why didn t you ?
Ses05M_impro02_F019,3,i mean i i know that you re a good soldier but not everybody else is . and what if
Ses05M_impro02_F016,3,oh my god .
Ses02F_script01_1_M015,2,all right . all right . listen to me . you know why i brought annie here don t you ?
Ses03M_impro04_M004,0,cause i went to harvard .
Ses05M_script01_1b_M008,2,i don t want to argue with him . but it s time that he knows that nobody else believes that larry s alive . i mean
Ses05M_script03_1_F000,3,do you think it s them ?
Ses03M_impro06_M014,2,the mother and father died 
